spectrum_identity,material
4-fluoroethcathinone hcl (lot #0434486-43),other material
4-fluoroisobutyrylfentanyl hcl  (lot #rm-160621-01),other material
4-fluoroisocathinone hcl (lot #0433668-11),other material
4-fluoromethamphetamine hcl (lot #n17-p15f),other material
4-fluoromethcathinone hcl (lot #4-tadflua),other material
4-fluoromethylphenidate hcl (lot #0480761-9),other material
4-fluoropentedrone hcl (lot #0464459-21),other material
4-hydroxy det (lot #0541116-1),other material
4-hydroxy met (lot #0541117-2),other material
4-hydroxy-mipt (lot #0438458-25),other material
"4-hydroxy-n,n-diisopropyltryptamine hcl (lot #sf06008)",other material
4-ma-nbome hcl (lot #0496692-9),other material
4-methoxy pcp hcl  (lot #0444879-31),other material
4-methoxy-n-ethylcathinone hcl (lot #tad0411),other material
4-methoxy-n-methylcathinone hcl (lot #tad0211),other material
4-methoxy-pvp hcl (lot #rm-141015-01),other material
4-methoxybutyrylfentanyl hcl (lot #0473920-23),other material
4-methyl pentedrone hcl (lot #0507138-4),other material
4-methyl-1-phenyl-2-(pyrrolidin-1-yl)pentan-1-one hcl (lot #rm-161101-,other material
4-methyl-2 pentanone,other material
4-methyl-2-pentanol,other material
4-methyl-4-heptanol,other plastic
4-methyl-4-octanol,other material
4-methyl-alpha-ethylaminopentiophenone hcl (lot #0456038-23),other material
4-methyl-alpha-ethylaminopentiophenone hcl (lot #rm-161024-01),other material
4-methyl-alpha-pyrrolidinopropiophenone hcl (lot #sf0004),other material
4-methyl-n-ethylcathinone hcl (lot #tad0311),other material
4-methylamphetamine hcl (lot #alb238-18),other material
4-methylbuphedrone hcl  (lot #0452569-8),other material
4-methylmethcathinone hcl (lot #tad51002),other material
4-mpbp hcl (lot #0435103-10),other material
4-vinylpyridine,other material
"5,5-diphenylhydantoin (lot #05731cp)",other material
"5,6-(methylenedioxy)-2-aminoindan hcl (lot #n16-p73b)",other material
"5-acetoxy-n,n-dimethyltryptamine oxalate (lot #tad121908)",other material
5-apb hcl (lot #n17-p64b),other material
5-apdb hcl (lot #n16-p60b),other material
5-bromo-ur-144 (lot #0440444-8),other material
5-chloro-2-pentanone,other material
5-chloro-akb-48 (lot #0532246-5),other material
5-chloro-ur-144 (lot #0441217-10),other material
5-eapb hcl   (lot #0455564-11),other material
5-fluoro abica (lot #0456711-14),other material
5-fluoro aeb (lot #0469229-26),other material
5-fluoro mn-18 (lot #0468172-5),other material
5-fluoro-ab-pinaca  (lot #rm-130816-02),other material
5-fluoro-adbica (lot #0451075-15),other material
5-fluoro-akb-48 (lot #n1p53emg),other material
5-fluoro-amb (lot #rm-140318-04),other material
5-fluoro-cumyl-pinaca (lot #0546719-1),other material
5-fluoro-edmb-pinaca (lot #0516373-15),other material
5-fluoro-mdmb-pica (lot #0494659-19),other material
5-fluoro-mdmb-pinaca (lot #rm-171024-02),other material
5-fluoro-mn-24 (lot #rm-131115-02),other material
5-fluoro-npb-22 (lot #rm-140724-02),other material
5-fluoro-pb-22 (lot #rm-032013-2),other material
5-fluoro-sdb-005 (lot #rm-140318-03),other material
5-fluoro-sdb-005 indole (lot #rm-140318-06),other material
5-fluoro-ur-144 (lot #0437258-13),other material
5-fluoropentyl-3-pyridinoylindole hcl (lot #0465894-1),other material
5-iodo-2-aminoindan hcl (lot #n17-p44a),other material
5-mapb hcl (lot #rm-131023-02),other material
5-meo-dalt base (lot #k8h81105),other material
5-meo-mipt base (lot #sf1797),other material
5-methoxy-alpha-methyltryptamine hcl (lot #2tdm-97-02),other material
"5-methoxy-n,n-diisopropyltryptamine hcl (lot #2tdm-296-01)",other material
"5-methoxy-n,n-dimethyltryptamine hcl (lot #h-0414b)",other material
"5-methoxy-n,n-dipropyltryptamine hcl (lot #alb-93-4)",other material
5490humic,other material
6,mineral
"6-(2-aminopropyl)-2,3-dihydrobenzofuran hcl (lot #n16-p93b)",other material
6-methoxy methylone hcl (lot #0472654-6),other material
7-(2-aminopropyl)benzofuran hcl   (lot #n17-p66b),other material
"81% vinyl chloride, 16.5% vinyl acetate, 2.5% maleic acid terpolymer",other plastic
"86% vinyl chloride, 13% vinyl acetate, 1% maleic acid terpolymer",other plastic
88% vinyl chloride 12%vinylacetate copolymer,other plastic
8_sucrose_bdh,other material
90% vinyl chloride 10%vinylacetate copolymer,other plastic
9_lactose_monohydrate_unilab,other material
"a-834,735 (lot #rm-131001-05)",other material
"a-836,339 (lot #n1p54emg)",other material
a-pvp hcl (lot #n17-p29h),other material
"a796,260 (lot #sf0005)",other material
aa-trehalose dihydrate,other material
ab-001 (lot #n1p20),other material
ab-chmica  (lot #0471007-15),other material
ab-chminaca   (lot #0455353-13),other material
ab-fubica (lot #rm-140805-06),other material
ab-fubinaca (lot #rm-130530-01),other material
ab-fubinaca 2-fluorobenzyl isomer (lot #0455357-18),other material
ab-fubinaca 3-fluorobenzyl isomer (lot #0455477-17),other material
ab-pinaca   (lot #rm-130816-01),other material
abelsonite,mineral
abelsonite__r070007__raman__532__0__unoriented__raman_data_processed__27040,mineral
abhurite,mineral
abhurite__r060227__raman__532__0__unoriented__raman_data_processed__33408,mineral
abhurite__r060227__raman__780__0__unoriented__raman_data_processed__33410,mineral
abramovite,mineral
abs,acrylonitrile butadiene styrene (abs)
abs 1. black fragment,acrylonitrile butadiene styrene (abs)
abs 1. orange lego fragment,acrylonitrile butadiene styrene (abs)
abs 10. brown lego fragment,acrylonitrile butadiene styrene (abs)
abs 11. black lego fragment,acrylonitrile butadiene styrene (abs)
abs 12. white lego fragment,acrylonitrile butadiene styrene (abs)
abs 14. white fridge lining fragment,acrylonitrile butadiene styrene (abs)
abs 15. black pipe fragment,acrylonitrile butadiene styrene (abs)
abs 16. clear glasware fragment,acrylonitrile butadiene styrene (abs)
abs 2. red lego fragment,acrylonitrile butadiene styrene (abs)
abs 4. light blue lego fragment,acrylonitrile butadiene styrene (abs)
abs 5. dark blue lego fragment,acrylonitrile butadiene styrene (abs)
abs 6. dark green lego fragment,acrylonitrile butadiene styrene (abs)
abs 7. light green lego fragment,acrylonitrile butadiene styrene (abs)
