spectrum_identity,material
takeuchiite__r100047__raman__532__0__unoriented__raman_data_processed__33762,mineral
talc,mineral
talc (lot #wald),other material
talc (wards),other material
"talc(steatite koralpe, austria nhm 1977.461)",mineral
talc__r040137__raman__514__0__unoriented__raman_data_processed__9733,mineral
talc__r040137__raman__532__0__unoriented__raman_data_processed__19796,mineral
talc__r040137__raman__785__0__unoriented__raman_data_processed__19798,mineral
talc__r050050__raman__532__0__unoriented__raman_data_processed__21186,mineral
talc__r050058-1__infrared__infrared_data_processed__372,mineral
talc__r050058__raman__514__0__unoriented__raman_data_processed__9961,mineral
talc__r050058__raman__532__0__unoriented__raman_data_processed__21214,mineral
talc__r050058__raman__785__0__unoriented__raman_data_processed__21216,mineral
talc__r050087-1__infrared__infrared_data_processed__373,mineral
talc__r050087__raman__514__0__unoriented__raman_data_processed__10062,mineral
talc__r050087__raman__532__0__unoriented__raman_data_processed__21793,mineral
talc__r050087__raman__785__0__unoriented__raman_data_processed__21795,mineral
talc_bdh,other material
tall oil rosin,other plastic
talmessite,mineral
talmessite__r060369__raman__532__0__unoriented__raman_data_processed__33960,mineral
talmessite__r060369__raman__780__0__unoriented__raman_data_processed__33962,mineral
talmessite__r080007__raman__532__0__unoriented__raman_data_processed__26553,mineral
talmessite__r080007__raman__780__0__unoriented__raman_data_processed__26551,mineral
talnakhite,mineral
tamarugite,mineral
tamarugite__r061060__raman__532__0__unoriented__raman_data_processed__15253,mineral
tamarugite__r061060__raman__785__0__unoriented__raman_data_processed__15255,mineral
tamoxifen (lot #bcbt3163),other plastic
taneyamalite,mineral
tangeite,mineral
tangeite__r070489__raman__532__0__unoriented__raman_data_processed__22289,mineral
tangeite__r070489__raman__785__0__unoriented__raman_data_processed__26072,mineral
taniajacoite,mineral
taniajacoite__r140945__raman__532__0__unoriented__raman_data_processed__38282,mineral
taniajacoite__r140945__raman__780__0__unoriented__raman_data_processed__38284,mineral
tantalite-(fe),mineral
tantalite-(mn),mineral
tantalitefe__r070548__raman__532__0__unoriented__raman_data_processed__22679,mineral
tantalitefe__r070548__raman__785__0__unoriented__raman_data_processed__26298,mineral
tantalitemn__r050600-1__infrared__infrared_data_processed__688,mineral
tantalitemn__r050600__raman__532__0__unoriented__raman_data_processed__32569,mineral
tantalitemn__r050600__raman__780__0__unoriented__raman_data_processed__32571,mineral
tantalitemn__r060252__raman__532__0__unoriented__raman_data_processed__33513,mineral
tantalitemn__r060252__raman__780__0__unoriented__raman_data_processed__33511,mineral
tantalitemn__r060415__raman__532__0__unoriented__raman_data_processed__34626,mineral
tantalitemn__r060415__raman__780__0__unoriented__raman_data_processed__34628,mineral
tapentadol hcl (lot #1665.1b1.1),other material
tapiaite,mineral
tapiaite__r150032__raman__532__0__unoriented__raman_data_processed__38320,mineral
tapiaite__r150032__raman__780__0__unoriented__raman_data_processed__38322,mineral
tapiolite-(fe),mineral
tapiolitefe__r050358-9__infrared__infrared_data_processed__687,mineral
tapiolitefe__r050358__raman__514__0__unoriented__raman_data_processed__10816,mineral
tapiolitefe__r050358__raman__532__0__unoriented__raman_data_processed__29577,mineral
tapiolitefe__r050358__raman__780__0__unoriented__raman_data_processed__29581,mineral
tapiolitefe__r110014__raman__780__0__unoriented__raman_data_processed__35228,mineral
taramellite,mineral
taramellite__r110043__raman__532__0__unoriented__raman_data_processed__35371,mineral
taramite,mineral
taramite__r061101__raman__532__0__unoriented__raman_data_processed__17316,mineral
taramite__r070238__raman__532__0__unoriented__raman_data_processed__20227,mineral
taranakite (kesw1 white nodule e),other material
tarbagataite,mineral
tarbagataite__r130041__infrared__infrared_data_processed__1272,mineral
tarbuttite,mineral
tarbuttite__r050621-1__infrared__infrared_data_processed__729,mineral
tarbuttite__r050621__raman__532__0__unoriented__raman_data_processed__32652,mineral
tarbuttite__r050621__raman__780__0__unoriented__raman_data_processed__32654,mineral
tausonite,mineral
tausonite__x090004__raman__532__0__unoriented__raman_data_processed__32017,mineral
tausonite__x090004__raman__780__0__unoriented__raman_data_processed__32018,mineral
tavorite,mineral
tavorite__r070523__raman__532__0__unoriented__raman_data_processed__26272,mineral
tavorite__r070523__raman__785__0__unoriented__raman_data_processed__26273,mineral
tavorite__r140258__raman__532__0__unoriented__raman_data_processed__38087,mineral
tavorite__r140258__raman__780__0__unoriented__raman_data_processed__38089,mineral
teallite,mineral
teallite__r050434-1__infrared__infrared_data_processed__730,mineral
teallite__r050434__raman__532__0__unoriented__raman_data_processed__30750,mineral
teallite__r050434__raman__785__0__unoriented__raman_data_processed__7096,mineral
teflon/ptfe,poly(tetrafluoroethylene)
teineite,mineral
teineite__r100206__raman__532__0__unoriented__raman_data_processed__35050,mineral
tellurite,mineral
tellurite__r050285__raman__514__0__unoriented__raman_data_processed__10714,mineral
tellurite__r050285__raman__532__0__unoriented__raman_data_processed__28588,mineral
tellurite__r050285__raman__780__0__unoriented__raman_data_processed__28590,mineral
tellurite__r070606__raman__532__0__unoriented__raman_data_processed__28359,mineral
tellurite__r070606__raman__780__0__unoriented__raman_data_processed__28360,mineral
tellurium,mineral
tellurium__r060136__raman__532__0__unoriented__raman_data_processed__33051,mineral
tellurium__r070376__raman__532__0__unoriented__raman_data_processed__25900,mineral
tellurobismuthite,mineral
temazepam (lot #56f0687),other material
tengeritey__r060480_a__raman__532__0__unoriented__raman_data_processed__10002,mineral
tengeritey__r060480_b__raman__532__0__unoriented__raman_data_processed__10006,mineral
tennantite-(fe),mineral
tennantite-(zn),mineral
tennantite__r050438-1__infrared__infrared_data_processed__731,mineral
tennantite__r050438__raman__532__0__unoriented__raman_data_processed__28476,mineral
tennantite__r050438__raman__780__0__unoriented__raman_data_processed__28487,mineral
tennantite__r050474-1__infrared__infrared_data_processed__952,mineral
tennantite__r050474__raman__532__0__unoriented__raman_data_processed__28497,mineral
tennantite__r050474__raman__780__0__unoriented__raman_data_processed__28499,mineral
tennantite__r050558-1__infrared__infrared_data_processed__732,mineral
tennantite__r050558__raman__532__0__unoriented__raman_data_processed__28472,mineral
tennantite__r050558__raman__780__0__unoriented__raman_data_processed__28474,mineral
tennantite__r110024__raman__532__0__unoriented__raman_data_processed__35603,mineral
tenocyclidine hcl (lot #3143-886-53),other material
tenorite,mineral
tenorite__r060978__raman__785__0__unoriented__raman_data_processed__13813,mineral
tenorite__r120076__raman__532__0__unoriented__raman_data_processed__36418,mineral
tephroite,mineral
tephroite__r060141__raman__532__0__unoriented__raman_data_processed__33072,mineral
tephroite__r060141__raman__780__0__unoriented__raman_data_processed__33074,mineral
tephroite__r070511__raman__532__0__unoriented__raman_data_processed__21721,mineral
tephroite__r070511__raman__785__0__unoriented__raman_data_processed__21723,mineral
tephroite__r100105__raman__532__0__unoriented__raman_data_processed__34386,mineral
tephroite__r100105__raman__780__0__unoriented__raman_data_processed__34388,mineral
tephroite__x050162,mineral
terephthalic acid,other plastic
terlinguacreekite,mineral
terlinguacreekite__r060731__raman__532__0__unoriented__raman_data_processed__30420,mineral
terlinguacreekite__r060731__raman__785__0__unoriented__raman_data_processed__19574,mineral
terlinguaite,mineral
terlinguaite__r060492__raman__532__0__unoriented__raman_data_processed__38183,mineral
terlinguaite__r060492__raman__780__0__unoriented__raman_data_processed__38185,mineral
terlinguaite__r140878__raman__532__0__unoriented__raman_data_processed__38193,mineral
terlinguaite__r140878__raman__780__0__unoriented__raman_data_processed__38195,mineral
ternesite,mineral
terra rossa soil (northern israel),other material
terre verte;,other material
terrywallaceite,mineral
terrywallaceite__r100007__raman__532__0__unoriented__raman_data_processed__33571,mineral
tert-butyl acrylate,other plastic
testosterone caproate (lot #rm-161213-01),other material
testosterone enanthate (lot #734ar),other material
tetracaine hcl (lot #99h1127),other material
tetracycline hcl,other material
tetradymite,mineral
tetradymite__r110138__raman__532__0__unoriented__raman_data_processed__36310,mineral
tetradymite__r110138__raman__780__0__unoriented__raman_data_processed__36312,mineral
tetradymite__r130067__raman__780__0__unoriented__raman_data_processed__37894,mineral
tetraethyl ethenetetracarboxylate,other material
tetrahedrite-(zn),mineral
tetrahedrite__r040164-1__infrared__infrared_data_processed__374,mineral
tetrahedrite__r040164__raman__532__0__unoriented__raman_data_processed__28642,mineral
tetrahedrite__r050302-1__infrared__infrared_data_processed__1225,mineral
tetrahedrite__r050302__raman__532__0__unoriented__raman_data_processed__28646,mineral
tetrahedrite__r050302__raman__780__0__unoriented__raman_data_processed__28648,mineral
tetrahedrite__r070423__raman__532__0__unoriented__raman_data_processed__21785,mineral
tetrahedrite__r100204__raman__532__0__unoriented__raman_data_processed__35106,mineral
tetrahedrite__r100204__raman__780__0__unoriented__raman_data_processed__35108,mineral
tetrahydrofuran fentanyl 3-tetrahydrofurancarboxamide hcl (lot #055026,other material
tetrahydrofuran fentanyl hcl (lot #0497941-14),other material
tetrawickmanite,mineral
tetrawickmanite__r100003__raman__532__0__unoriented__raman_data_processed__33556,mineral
tetrawickmanite__r100003__raman__780__0__unoriented__raman_data_processed__33558,mineral
tfmpp monohydrochloride (lot #gbfa016743),other material
th-pvp hcl (lot #rm-160223-02),other material
thaumasite,mineral
thaumasite__r060296__raman__532__0__unoriented__raman_data_processed__34037,mineral
thaumasite__r060296__raman__780__0__unoriented__raman_data_processed__34039,mineral
thaumasite__r060814__raman__532__0__unoriented__raman_data_processed__26422,mineral
thaumasite__r060814__raman__780__0__unoriented__raman_data_processed__26424,mineral
thca-a (lot #0477793-1),other material
theisite__r050326__raman__532__0__unoriented__raman_data_processed__6756,mineral
theisite__r060478__raman__532__0__unoriented__raman_data_processed__9998,mineral
thenardite,mineral
thenardite__r040178__raman__514__0__unoriented__raman_data_processed__3278,mineral
thenardite__r040178__raman__532__0__unoriented__raman_data_processed__20959,mineral
thenardite__r040178__raman__785__0__unoriented__raman_data_processed__20961,mineral
thenardite__r040183__raman__514__0__unoriented__raman_data_processed__9677,mineral
thenardite__r040183__raman__532__0__unoriented__raman_data_processed__20981,mineral
thenardite__r040183__raman__785__0__unoriented__raman_data_processed__20983,mineral
theobromine (lot #093k2507),other material
theophrastite,mineral
theophrastite__r070699__raman__532__0__unoriented__raman_data_processed__24065,mineral
theophrastite__r070699__raman__780__0__unoriented__raman_data_processed__24067,mineral
theophylline (lot #99h0870),other material
thermoplastisches elastomer,other plastic
thiamine hcl (lot #048k0013),other material
thomasclarkite-(y),mineral
thomasclarkitey__r110186__raman__532__0__unoriented__raman_data_processed__36317,mineral
thometzekite,mineral
thometzekite__r060394__raman__532__0__unoriented__raman_data_processed__9380,mineral
thomsenolite,mineral
thomsenolite__r050282-1__infrared__infrared_data_processed__733,mineral
thomsenolite__r050282__raman__514__0__unoriented__raman_data_processed__10710,mineral
thomsenolite__r050282__raman__532__0__unoriented__raman_data_processed__28446,mineral
thomsenolite__r050282__raman__780__0__unoriented__raman_data_processed__28444,mineral
thomsonite-ca,mineral
thomsoniteca__r050091-1__infrared__infrared_data_processed__375,mineral
thomsoniteca__r050091__raman__532__0__unoriented__raman_data_processed__21811,mineral
thomsoniteca__r050091__raman__785__0__unoriented__raman_data_processed__21809,mineral
thomsoniteca__r050103-1__infrared__infrared_data_processed__1075,mineral
thomsoniteca__r050103-1__infrared__infrared_data_processed__797,mineral
thomsoniteca__r050103__raman__514__0__unoriented__raman_data_processed__10082,mineral
thomsoniteca__r050103__raman__532__0__unoriented__raman_data_processed__27001,mineral
thomsoniteca__r050103__raman__780__0__unoriented__raman_data_processed__27003,mineral
thorianite,mineral
thorianite__r060849__raman__532__0__unoriented__raman_data_processed__12958,mineral
thorianite__r060849__raman__785__0__unoriented__raman_data_processed__18627,mineral
thorianite__r130003__raman__532__0__unoriented__raman_data_processed__38201,mineral
thorite__x050163__raman__514__0__unoriented__raman_data_processed__6693,mineral
thorite__x050164__raman__514__0__unoriented__raman_data_processed__6695,mineral
thortveitite,mineral
thortveitite__r060360__raman__532__0__unoriented__raman_data_processed__34280,mineral
thortveitite__r061065__raman__532__0__unoriented__raman_data_processed__15223,mineral
tianeptine sodium salt (lot #0467324-10),other material
tiemannite,mineral
tiemannite__r050550-1__infrared__infrared_data_processed__734,mineral
tiemannite__r050550__raman__532__0__unoriented__raman_data_processed__36980,mineral
tiemannite__r060463__raman__532__0__unoriented__raman_data_processed__36911,mineral
tilasite,mineral
tilasite__r050246-1__infrared__infrared_data_processed__942,mineral
tilasite__r050246__raman__532__0__unoriented__raman_data_processed__37069,mineral
tilasite__r050246__raman__780__0__unoriented__raman_data_processed__37071,mineral
tilasite__r060618__raman__532__0__unoriented__raman_data_processed__11274,mineral
tilasite__r060618__raman__785__0__unoriented__raman_data_processed__30366,mineral
tilleyite,mineral
tilleyite__r050227-1__infrared__infrared_data_processed__1101,mineral
tilleyite__r050227-1__infrared__infrared_data_processed__896,mineral
tilleyite__r050227__raman__532__0__unoriented__raman_data_processed__28053,mineral
tilleyite__r050227__raman__780__0__unoriented__raman_data_processed__28051,mineral
tin,mineral
tin__r060756__raman__532__0__unoriented__raman_data_processed__30707,mineral
tinaksite,mineral
tinaksite__r060375__raman__532__0__unoriented__raman_data_processed__34329,mineral
tinaksite__r060375__raman__780__0__unoriented__raman_data_processed__34331,mineral
tincalconite,mineral
tincalconite__r050660-1__infrared__infrared_data_processed__1149,mineral
tincalconite__r050660-1__infrared__infrared_data_processed__821,mineral
tincalconite__r050660-1__infrared__infrared_data_processed__872,mineral
tincalconite__r050660__raman__532__0__unoriented__raman_data_processed__32849,mineral
tincalconite__r050660__raman__780__0__unoriented__raman_data_processed__32847,mineral
tinsleyite,mineral
tinsleyite__r070706__raman__532__0__unoriented__raman_data_processed__24168,mineral
tinsleyite__r070706__raman__780__0__unoriented__raman_data_processed__24170,mineral
tinticite,mineral
tinticite__r070518__raman__532__0__unoriented__raman_data_processed__22578,mineral
tinticite__r070682__raman__532__0__unoriented__raman_data_processed__24143,mineral
tintinaite,mineral
tintinaite__r110046__raman__532__0__unoriented__raman_data_processed__35607,mineral
tintinaite__r110163__raman__532__0__unoriented__raman_data_processed__35989,mineral
tinzenite,mineral
tinzenite__r050251-1__infrared__infrared_data_processed__1109,mineral
tinzenite__r050251-1__infrared__infrared_data_processed__901,mineral
tinzenite__r050251__raman__514__0__unoriented__raman_data_processed__10660,mineral
tinzenite__r050251__raman__532__0__unoriented__raman_data_processed__28164,mineral
tinzenite__r050251__raman__780__0__unoriented__raman_data_processed__28166,mineral
tinzenite__r110064__raman__532__0__unoriented__raman_data_processed__35698,mineral
tinzenite__r110064__raman__780__0__unoriented__raman_data_processed__35700,mineral
tiptopite,mineral
tiptopite__r070609__raman__532__0__unoriented__raman_data_processed__28364,mineral
tiptopite__r070609__raman__780__0__unoriented__raman_data_processed__28365,mineral
tiragalloite,mineral
tiragalloite__r130101__raman__532__0__unoriented__raman_data_processed__37484,mineral
tiragalloite__r130101__raman__780__0__unoriented__raman_data_processed__37486,mineral
titandioxide,other material
titanite,mineral
titanite__r040033-1__infrared__infrared_data_processed__376,mineral
titanite__r040033__raman__532__0__unoriented__raman_data_processed__26347,mineral
titanite__r050039-1__infrared__infrared_data_processed__377,mineral
titanite__r050039__raman__532__0__unoriented__raman_data_processed__21152,mineral
titanite__r050114-1__infrared__infrared_data_processed__1061,mineral
titanite__r050114-1__infrared__infrared_data_processed__798,mineral
titanite__r050114__raman__532__0__unoriented__raman_data_processed__27087,mineral
titanite__r050124-1__infrared__infrared_data_processed__378,mineral
titanite__r050124__raman__532__0__unoriented__raman_data_processed__27180,mineral
titanite__r050124__raman__780__0__unoriented__raman_data_processed__27182,mineral
titanite__r050472-1__infrared__infrared_data_processed__962,mineral
titanite__r050472__raman__532__0__unoriented__raman_data_processed__30943,mineral
titanite__r050472__raman__780__0__unoriented__raman_data_processed__30942,mineral
titanite__r100025__raman__532__0__unoriented__raman_data_processed__33683,mineral
titanite__r100136__raman__532__0__unoriented__raman_data_processed__34494,mineral
titanite__r100136__raman__780__0__unoriented__raman_data_processed__34496,mineral
titanite__r120030__raman__532__0__unoriented__raman_data_processed__36538,mineral
titanite__r120030__raman__780__0__unoriented__raman_data_processed__36528,mineral
titanium white 46200_532,other material
titanium white 46200_638,other material
titanium white 46200_785,other material
titanium_dioxide_anatase_aldrich,mineral
titanowodginite,mineral
titanowodginite__r061033__raman__532__0__unoriented__raman_data_processed__14298,mineral
titantaramellite,mineral
titantaramellite__r060315__raman__532__0__unoriented__raman_data_processed__34077,mineral
titantaramellite__r080041__raman__532__0__unoriented__raman_data_processed__27984,mineral
tlapallite,mineral
tlapallite__r060888__raman__532__0__unoriented__raman_data_processed__13033,mineral
tnt,other material
tobermorite,mineral
tobermorite__r060147__raman__532__0__unoriented__raman_data_processed__33088,mineral
tobermorite__r060147__raman__780__0__unoriented__raman_data_processed__33090,mineral
tochilinite,mineral
tochilinite__r060887__raman__532__0__unoriented__raman_data_processed__14699,mineral
tocornalite,mineral
tocornalite__r070693__raman__532__0__unoriented__raman_data_processed__28961,mineral
tocornalite__r070693__raman__780__0__unoriented__raman_data_processed__28962,mineral
todorokite,mineral
todorokite (south africa; nhm1975.374),other material
todorokite__r070257__raman__532__0__unoriented__raman_data_processed__20282,mineral
tokkoite,mineral
tolovkite,mineral
toluene,other material
tomato skin,organic matter
tomichite,mineral
topaz,mineral
topaz__r040121__raman__514__0__unoriented__raman_data_processed__9529,mineral
topaz__r040121__raman__532__0__unoriented__raman_data_processed__19712,mineral
topaz__r040121__raman__785__0__unoriented__raman_data_processed__30218,mineral
topaz__r050176-1__infrared__infrared_data_processed__1150,mineral
topaz__r050176-1__infrared__infrared_data_processed__915,mineral
topaz__r050176__raman__514__0__unoriented__raman_data_processed__12455,mineral
topaz__r050176__raman__532__0__unoriented__raman_data_processed__31434,mineral
topaz__r050176__raman__780__0__unoriented__raman_data_processed__31432,mineral
topaz__r050199-1__infrared__infrared_data_processed__1139,mineral
topaz__r050199-1__infrared__infrared_data_processed__860,mineral
topaz__r050199__raman__514__0__unoriented__raman_data_processed__10230,mineral
topaz__r050200-1__infrared__infrared_data_processed__1140,mineral
topaz__r050200-1__infrared__infrared_data_processed__866,mineral
topaz__r050200__raman__514__0__unoriented__raman_data_processed__6335,mineral
topaz__r050404-1__infrared__infrared_data_processed__571,mineral
topaz__r050404__raman__514__0__unoriented__raman_data_processed__10861,mineral
topaz__r050404__raman__532__0__unoriented__raman_data_processed__31436,mineral
topaz__r050404__raman__780__0__unoriented__raman_data_processed__31438,mineral
topaz__r050405-1__infrared__infrared_data_processed__572,mineral
topaz__r050405__raman__514__0__unoriented__raman_data_processed__10863,mineral
topaz__r050405__raman__532__0__unoriented__raman_data_processed__31442,mineral
topaz__r050405__raman__780__0__unoriented__raman_data_processed__31440,mineral
topaz__r060024-1__infrared__infrared_data_processed__1182,mineral
topaz__r060024__raman__532__0__unoriented__raman_data_processed__26665,mineral
topaz__r060024__raman__780__0__unoriented__raman_data_processed__26667,mineral
topaz__r060026-1__infrared__infrared_data_processed__1177,mineral
topaz__r060026__raman__532__0__unoriented__raman_data_processed__26669,mineral
topaz__r060026__raman__780__0__unoriented__raman_data_processed__26671,mineral
tourmaline,mineral
tourmaline__r060123__raman__532__0__unoriented__raman_data_processed__31953,mineral
tourmaline__r070563__raman__532__0__unoriented__raman_data_processed__31476,mineral
tourmaline__r070563__raman__780__0__unoriented__raman_data_processed__31478,mineral
tourmaline__r080010-1__infrared__infrared_data_processed__1020,mineral
tourmaline__r080010__raman__532__0__unoriented__raman_data_processed__29048,mineral
tourmaline__r110131__raman__532__0__unoriented__raman_data_processed__35656,mineral
tourmaline__r110131__raman__780__0__unoriented__raman_data_processed__35654,mineral
tourmaline__r110132__raman__532__0__unoriented__raman_data_processed__35658,mineral
tourmaline__r110132__raman__780__0__unoriented__raman_data_processed__35660,mineral
tourmaline__r110133__raman__532__0__unoriented__raman_data_processed__35664,mineral
tourmaline__r110133__raman__780__0__unoriented__raman_data_processed__35662,mineral
tpcldpe,poly(ethylene)
tpu,polyurethanes (isocyanates)
tragacanth_merck,other material
tramadol hcl (lot #bcbk9246v),other material
trans-3-methyl fentanyl hcl  (lot #0532018-3),other material
trans-cinnamoylcocaine base (lot #n1-p08i),other material
traskite,mineral
traskite__r060706__raman__785__0__unoriented__raman_data_processed__12448,mineral
trattnerite,mineral
trattnerite__r060623__raman__532__0__unoriented__raman_data_processed__21719,mineral
trattnerite__r060623__raman__785__0__unoriented__raman_data_processed__11233,mineral
trazodone hcl (lot #060m1651v),other material
trechmannite,mineral
trechmannite__r130062__raman__532__0__unoriented__raman_data_processed__37420,mineral
trechmannite__r130062__raman__780__0__unoriented__raman_data_processed__37422,mineral
trehalose_dihydrate_sigma,other material
trembathite,mineral
trembathite__r070756__raman__532__0__unoriented__raman_data_processed__25108,mineral
trembathite__r070756__raman__780__0__unoriented__raman_data_processed__25106,mineral
tremolite,mineral
tremolite__r040045-1__infrared__infrared_data_processed__379,mineral
tremolite__r040045__raman__514__0__unoriented__raman_data_processed__10359,mineral
tremolite__r040045__raman__532__0__unoriented__raman_data_processed__26643,mineral
tremolite__r040045__raman__780__0__unoriented__raman_data_processed__26641,mineral
tremolite__r040109-1__infrared__infrared_data_processed__340,mineral
tremolite__r040109__raman__514__0__unoriented__raman_data_processed__19555,mineral
tremolite__r040109__raman__532__0__unoriented__raman_data_processed__19544,mineral
tremolite__r050167-1__infrared__infrared_data_processed__205,mineral
tremolite__r050167__raman__514__0__unoriented__raman_data_processed__10182,mineral
tremolite__r050167__raman__532__0__unoriented__raman_data_processed__28151,mineral
tremolite__r050173-1__infrared__infrared_data_processed__1123,mineral
tremolite__r050173-1__infrared__infrared_data_processed__858,mineral
tremolite__r050173__raman__514__0__unoriented__raman_data_processed__12450,mineral
tremolite__r050173__raman__532__0__unoriented__raman_data_processed__27752,mineral
tremolite__r050173__raman__780__0__unoriented__raman_data_processed__27754,mineral
tremolite__r050210-1__infrared__infrared_data_processed__1092,mineral
tremolite__r050210-1__infrared__infrared_data_processed__916,mineral
tremolite__r050210__raman__532__0__unoriented__raman_data_processed__36410,mineral
tremolite__r050498-1__infrared__infrared_data_processed__932,mineral
tremolite__r050498__raman__532__0__unoriented__raman_data_processed__32066,mineral
tremolite__r050498__raman__780__0__unoriented__raman_data_processed__32064,mineral
tremolite__r060311__raman__532__0__unoriented__raman_data_processed__34069,mineral
tremolite__r060311__raman__780__0__unoriented__raman_data_processed__34071,mineral
tremolite__r070422__raman__532__0__unoriented__raman_data_processed__21878,mineral
trenbolone acetate (lot #g01045),other material
trenbolone enanthate (lot #b0498),other material
trenbolone hexahydrobenzylcarbonate (lot #b0499),other material
trendione (lot #rm-150319-01),other material
trevorite,mineral
trevorite__r140860__raman__780__0__unoriented__raman_data_processed__38667,mineral
triacetin_merck,other material
triacontane,other material
tricalcium phosphate (beta),other material
tricalcium_phosphate_mb,other material
tridymite,mineral
tridymite (n10sh),other material
tridymite__r040143__raman__532__0__unoriented__raman_data_processed__20632,mineral
tridymite__r040143__raman__785__0__unoriented__raman_data_processed__20629,mineral
tridymite__r090042__raman__532__0__unoriented__raman_data_processed__32557,mineral
tridymite__r090042__raman__780__0__unoriented__raman_data_processed__32559,mineral
tridymite__r090063__raman__532__0__unoriented__raman_data_processed__33351,mineral
triethylene glycol dimethacrylate,other material
trigonite,mineral
trigonite__r100050__raman__532__0__unoriented__raman_data_processed__33775,mineral
trigonite__r100050__raman__780__0__unoriented__raman_data_processed__33777,mineral
trilithionite,mineral
trilithionite__r040101-1__infrared__infrared_data_processed__384,mineral
trilithionite__r040101__raman__514__0__unoriented__raman_data_processed__2201,mineral
trilithionite__r040101__raman__532__0__unoriented__raman_data_processed__15725,mineral
trilithionite__r040101__raman__785__0__unoriented__raman_data_processed__29998,mineral
trilithionite__r040105-1__infrared__infrared_data_processed__385,mineral
trilithionite__r040105__raman__532__0__unoriented__raman_data_processed__24838,mineral
trilithionite__r040105__raman__780__0__unoriented__raman_data_processed__24836,mineral
trilithionite__r050486-1__infrared__infrared_data_processed__927,mineral
trilithionite__r050486__raman__532__0__unoriented__raman_data_processed__31654,mineral
trilithionite__r060004__raman__532__0__unoriented__raman_data_processed__26375,mineral
trilithionite__r060004__raman__780__0__unoriented__raman_data_processed__26377,mineral
trinitite,mineral
triphenyl methane,other material
triphenylmethanol,other material
triphylite,mineral
triphylite__r050257-1__infrared__infrared_data_processed__1163,mineral
triphylite__r050257-1__infrared__infrared_data_processed__948,mineral
triphylite__r050257__raman__514__0__unoriented__raman_data_processed__10670,mineral
triphylite__r050257__raman__532__0__unoriented__raman_data_processed__18833,mineral
triphylite__r050257__raman__785__0__unoriented__raman_data_processed__18835,mineral
triphylite__r050366-1__infrared__infrared_data_processed__735,mineral
triphylite__r050366__raman__532__0__unoriented__raman_data_processed__29557,mineral
triphylite__r050366__raman__780__0__unoriented__raman_data_processed__29559,mineral
triphylite__r050424-1__infrared__infrared_data_processed__736,mineral
triphylite__r050424__raman__532__0__unoriented__raman_data_processed__18817,mineral
triphylite__r050424__raman__785__0__unoriented__raman_data_processed__18823,mineral
triphylite__r050494-1__infrared__infrared_data_processed__944,mineral
triphylite__r050494__raman__532__0__unoriented__raman_data_processed__31550,mineral
triphylite__r050494__raman__780__0__unoriented__raman_data_processed__31552,mineral
triphylite__r050624-1__infrared__infrared_data_processed__737,mineral
triphylite__r050624__raman__532__0__unoriented__raman_data_processed__32662,mineral
triphylite__r050624__raman__780__0__unoriented__raman_data_processed__32660,mineral
triphylite__r100156__raman__532__0__unoriented__raman_data_processed__34638,mineral
triphylite__r100156__raman__780__0__unoriented__raman_data_processed__34636,mineral
triplite,mineral
triplite__r050186-1__infrared__infrared_data_processed__1129,mineral
triplite__r050186-1__infrared__infrared_data_processed__873,mineral
triplite__r050186__raman__514__0__unoriented__raman_data_processed__10911,mineral
triplite__r050186__raman__532__0__unoriented__raman_data_processed__15719,mineral
triplite__r050186__raman__785__0__unoriented__raman_data_processed__15717,mineral
triplite__r050226-1__infrared__infrared_data_processed__1100,mineral
triplite__r050226-1__infrared__infrared_data_processed__910,mineral
triplite__r050226__raman__514__0__unoriented__raman_data_processed__10624,mineral
triplite__r050226__raman__532__0__unoriented__raman_data_processed__28049,mineral
triplite__r050226__raman__780__0__unoriented__raman_data_processed__28047,mineral
triplite__r050615-1__infrared__infrared_data_processed__738,mineral
triplite__r050615__raman__532__0__unoriented__raman_data_processed__32634,mineral
triplite__r050615__raman__780__0__unoriented__raman_data_processed__32636,mineral
triplite__r060743__raman__532__0__unoriented__raman_data_processed__12619,mineral
triplite__r060935__raman__532__0__unoriented__raman_data_processed__13124,mineral
triplite__r060935__raman__785__0__unoriented__raman_data_processed__14701,mineral
triplite__r070645__raman__532__0__unoriented__raman_data_processed__24197,mineral
triplite__r070645__raman__780__0__unoriented__raman_data_processed__24199,mineral
tripuhyite,mineral
tripuhyite__r070383__raman__532__0__unoriented__raman_data_processed__21704,mineral
tripuhyite__r070383__raman__785__0__unoriented__raman_data_processed__21706,mineral
tritomite-(ce),mineral
tritomitece__r060046-1__infrared__infrared_data_processed__835,mineral
tritomitece__r060370__raman__532__0__unoriented__raman_data_processed__12954,mineral
tritomitey__r070761__raman__532__0__unoriented__raman_data_processed__24990,mineral
troilite,mineral
troilite__r070242__raman__532__0__unoriented__raman_data_processed__20178,mineral
trolleite,mineral
trolleite__r050425-1__infrared__infrared_data_processed__739,mineral
trolleite__r050425__raman__532__0__unoriented__raman_data_processed__30565,mineral
trolleite__r050425__raman__780__0__unoriented__raman_data_processed__30567,mineral
trolleite__r050545__raman__532__0__unoriented__raman_data_processed__32267,mineral
trolleite__r050545__raman__780__0__unoriented__raman_data_processed__32265,mineral
trona,mineral
"trona (lake magadi, kenya; nhmoh bm 1926.46)",mineral
trona__r050228-1__infrared__infrared_data_processed__1102,mineral
